mouth0x,mouth0y,mouth1x,mouth1y,mouth2x,mouth2y,mouth3x,mouth3y,mouth4x,mouth4y,mouth5x,mouth5y,mouth6x,mouth6y,mouth7x,mouth7y,mouth8x,mouth8y,mouth9x,mouth9y,mouth10x,mouth10y,mouth11x,mouth11y,mouth12x,mouth12y,mouth13x,mouth13y,mouth14x,mouth14y,mouth15x,mouth15y,mouth16x,mouth16y,mouth17x,mouth17y,mouth18x,mouth18y,mouth19x,mouth19y,happiness
85,196,91,191,98,187,104,188,110,185,119,187,130,191,120,194,111,196,105,197,99,198,92,199,89,196,99,192,104,191,111,190,126,191,110,191,104,192,98,192,0
109,177,126,177,140,178,147,180,155,180,163,182,170,185,161,193,152,195,144,195,136,193,123,187,114,178,139,181,146,183,154,183,166,185,153,189,145,189,138,188,1
85,190,95,182,107,178,117,178,126,175,140,176,154,180,143,194,130,201,120,203,110,204,97,202,88,190,108,184,117,183,127,181,150,182,129,194,118,196,108,197,1
85,190,95,182,107,178,117,178,126,175,140,176,154,180,143,194,130,201,120,203,110,204,97,202,88,190,108,184,117,183,127,181,150,182,129,194,118,196,108,197,0
81,194,95,194,109,197,118,201,127,202,138,207,146,214,133,224,121,226,111,224,101,220,90,211,85,197,107,202,116,205,125,207,142,214,124,218,114,216,105,213,1
111,209,124,207,136,205,144,208,152,206,162,209,173,212,163,219,153,221,144,222,135,221,124,217,116,210,135,212,144,214,152,213,169,213,152,214,144,214,136,212,0
97,197,109,197,121,197,128,199,135,199,144,201,154,205,142,212,133,213,126,213,117,211,107,206,101,198,120,201,127,203,135,203,150,205,134,203,127,203,119,201,0
83,207,92,200,103,196,113,195,123,193,138,192,155,195,142,212,129,218,117,221,107,221,95,218,88,207,104,200,114,200,124,197,150,196,126,210,115,212,105,212,1
102,205,113,202,122,199,129,200,137,196,149,195,164,193,152,201,141,207,133,209,126,210,116,210,107,205,123,203,130,203,138,200,160,195,139,200,131,203,124,203,0
76,199,80,196,87,194,94,195,101,192,116,192,135,193,119,200,106,204,99,206,92,206,84,204,80,200,89,199,96,199,103,198,130,194,104,198,97,199,90,199,0
96,185,106,181,116,179,124,181,133,179,146,181,160,186,145,192,132,193,123,194,115,194,105,192,100,185,115,185,124,185,132,185,155,185,132,185,124,186,115,185,0
130,181,144,179,155,179,161,181,167,180,174,183,179,187,173,194,166,195,160,195,153,193,142,189,135,182,155,185,161,186,167,186,175,187,167,186,160,186,154,185,0
